n,physical_error_rate,logical_error_rate
3,0.011,0.07217030114226376
3,0.007,0.02055274425846633
3,0.003,0.00144
3,0.005,0.0071
3,0.009000000000000001,0.04417847399454369
3,0.001,0
3,0.017,0.1988785046728972
3,0.013000000000000001,0.1089527027027027
3,0.015,0.15572826712723087
3,0.019000000000000003,0.2413466097676624
5,0.001,0
5,0.003,0.00032
5,0.005,0.00448
5,0.009000000000000001,0.06791754756871037
5,0.007,0.020791361108872593
5,0.013000000000000001,0.2232799653829511
5,0.011,0.1503267973856209
5,0.015,0.3370712401055409
5,0.017,0.4004665629860031
5,0.019000000000000003,0.4193290734824281
7,0.003,2e-05
7,0.001,0
7,0.007,0.024043762191501995
7,0.005,0.00236
7,0.009000000000000001,0.10055555555555555
7,0.011,0.2338935574229692
7,0.013000000000000001,0.3447332421340629
7,0.017,0.47026022304832715
7,0.015,0.40927258193445243
7,0.019000000000000003,0.5075187969924813
