n,physical_error_rate,logical_error_rate
3,0.001,0.1400537634408602
3,0.005,0.40077821011673154
3,0.003,0.3226010101010101
3,0.007,0.4562607204116638
3,0.009000000000000001,0.46457399103139013
3,0.011,0.4891815616180621
3,0.013000000000000001,0.5359001040582726
3,0.017,0.4775977121067683
3,0.015,0.4980430528375734
3,0.019000000000000003,0.49954995499549953
5,0.003,0.17922889892323723
5,0.013000000000000001,0.48927875243664715
5,0.001,0.0237949394524808
5,0.007,0.4614687216681777
5,0.011,0.5024582104228122
5,0.005,0.33509583608724386
5,0.009000000000000001,0.47393364928909953
5,0.015,0.5014895729890765
5,0.017,0.4950936663693131
5,0.019000000000000003,0.5205338809034907
7,0.001,0.00992
7,0.007,0.47420814479638007
7,0.009000000000000001,0.5164948453608248
7,0.003,0.1361299052774019
7,0.005,0.35038009675190046
7,0.011,0.5088582677165354
7,0.017,0.5122950819672131
7,0.015,0.501996007984032
7,0.013000000000000001,0.4981060606060606
7,0.019000000000000003,0.4724770642201835
