n,boundary_error_rate,logical_error_rate
1,0.009000000000000001,0.1357578495595211
1,0.001,0.013177775150105764
1,0.003,0.0410493574527298
1,0.005,0.07238883143743537
1,0.007,0.10905846541408629
1,0.015,0.23128792987188132
1,0.011,0.1668272318561336
1,0.013000000000000001,0.203810623556582
1,0.017,0.25528124204632224
1,0.019000000000000003,0.2886111111111111
2,0.001,0.00939431168423289
2,0.003,0.02812596393819579
2,0.007,0.0638002773925104
2,0.009000000000000001,0.0870980870980871
2,0.011,0.11638367255144495
2,0.013000000000000001,0.14020731042007636
2,0.015,0.14888888888888888
2,0.017,0.16603235014272122
2,0.005,0.048064531525941485
2,0.019000000000000003,0.20118694362017805
3,0.001,0.006295288764775271
3,0.007,0.05232617849440279
3,0.003,0.019514727370606784
3,0.005,0.035809348049827876
3,0.011,0.08334711427153961
3,0.009000000000000001,0.0672236000522125
3,0.013000000000000001,0.10587161545482203
3,0.015,0.1283817635270541
3,0.017,0.13421622309945244
3,0.019000000000000003,0.1506015765454294
4,0.003,0.04375108187640644
4,0.011,0.1721564173292228
4,0.013000000000000001,0.19776536312849163
4,0.005,0.0765817458495907
4,0.017,0.2486982395239276
4,0.001,0.014709088530689961
4,0.007,0.1082529474812433
4,0.015,0.2297150315423102
4,0.009000000000000001,0.1465069284064665
4,0.019000000000000003,0.2744453574363188
5,0.003,0.02928692699490662
5,0.005,0.052301910429063576
5,0.009000000000000001,0.09144676979071883
5,0.011,0.1169209269826482
5,0.007,0.07228673065306396
5,0.013000000000000001,0.13291715437638185
5,0.001,0.009449739995064932
5,0.015,0.16294032491555413
5,0.017,0.18430905377808032
5,0.019000000000000003,0.2037144515380151
