n,physical_error_rate,logical_error_rate
3,0.001,4e-05
3,0.003,0.00096
3,0.007,0.016168531196081706
3,0.005,0.00554
3,0.009000000000000001,0.03375082399472643
3,0.011,0.05580420912294067
3,0.015,0.12592410054213898
3,0.017,0.16966917785784474
3,0.013000000000000001,0.08808562905772943
3,0.019000000000000003,0.2069246435845214
5,0.003,0.0002
5,0.005,0.00264
5,0.011,0.11385816525699415
5,0.001,0
5,0.009000000000000001,0.04869381482904341
5,0.007,0.015252063350434976
5,0.013000000000000001,0.1808548216178029
5,0.015,0.27234709879769997
5,0.017,0.3695811903012491
5,0.019000000000000003,0.42601246105919005
7,0.003,8e-05
7,0.001,0
7,0.005,0.00148
7,0.007,0.013363143422506617
7,0.009000000000000001,0.06294706723891273
7,0.015,0.39621152328334647
7,0.011,0.171858952413557
7,0.017,0.470961887477314
7,0.013000000000000001,0.3064699205448354
7,0.019000000000000003,0.4718045112781955
