n,physical_error_rate,logical_error_rate
1,0.003,0.04901773793629601
1,0.005,0.08290775614427066
1,0.013000000000000001,0.21266878474980144
1,0.001,0.016054604883676216
1,0.007,0.11813530415008527
1,0.017,0.26198497019953354
1,0.011,0.18321855744835086
1,0.009000000000000001,0.15370483772198407
1,0.015,0.23563351027002077
1,0.019000000000000003,0.3
2,0.001,0.01562586045487086
2,0.013000000000000001,0.22062350119904076
2,0.005,0.08370889667835087
2,0.003,0.04576043068640646
2,0.007,0.11580135440180588
2,0.011,0.17963427751882396
2,0.015,0.2306455318171376
2,0.017,0.2756183745583039
2,0.009000000000000001,0.15599189652485584
2,0.019000000000000003,0.2911111111111111
3,0.001,0.018865797286632343
3,0.017,0.2801905295601009
3,0.005,0.09808407206176722
3,0.011,0.19052150742291588
3,0.003,0.05615642815280516
3,0.007,0.12843450479233226
3,0.015,0.2568476693897165
3,0.009000000000000001,0.16978902953586497
3,0.013000000000000001,0.22481975092855583
3,0.019000000000000003,0.32454165326471535
3,0.001,0.01831776384343979
3,0.009000000000000001,0.16373697916666666
3,0.005,0.0999251497005988
3,0.013000000000000001,0.2364817823160826
3,0.011,0.1951219512195122
3,0.003,0.05325143408294837
3,0.007,0.12804193186072632
3,0.015,0.2627623736719357
3,0.017,0.285
3,0.019000000000000003,0.3173722627737226
3,0.007,0.1282489322757779
3,0.011,0.19235739339117594
3,0.005,0.09675895303789096
3,0.013000000000000001,0.23260115606936416
3,0.001,0.018739257155668484
3,0.003,0.057353899630675644
3,0.015,0.25996892801657173
3,0.009000000000000001,0.16505791505791506
3,0.017,0.29083333333333333
3,0.019000000000000003,0.3205574912891986
4,0.001,0.018513044120907547
4,0.009000000000000001,0.16724393864423553
4,0.005,0.09251652080728702
4,0.013000000000000001,0.23295454545454544
4,0.017,0.2860226659471128
4,0.007,0.13376640593928146
4,0.015,0.2565195586760281
4,0.003,0.056851311953352766
4,0.011,0.2157617504051864
4,0.019000000000000003,0.31760607979734007
5,0.007,0.092724165842252
5,0.005,0.06759891311551461
5,0.011,0.14469545324563912
5,0.003,0.03944727497298132
5,0.001,0.013049092398996797
5,0.017,0.22877304803095835
5,0.013000000000000001,0.17494414847912013
5,0.009000000000000001,0.12793643482266237
5,0.015,0.1859674243780204
5,0.019000000000000003,0.23924922784509384
6,0.005,0.049038227416605795
6,0.007,0.06991903389597914
6,0.009000000000000001,0.09013893595391392
6,0.003,0.02901047992994548
6,0.017,0.16567460317460317
6,0.001,0.009945409777170245
6,0.011,0.10707497360084477
6,0.015,0.15243544600938966
6,0.013000000000000001,0.12822156686754713
6,0.019000000000000003,0.18301955104996379
7,0.007,0.018161161512371977
7,0.005,0.009526005164146072
7,0.011,0.039581689029202845
7,0.003,0.0036877097718964447
7,0.015,0.06498802511489417
7,0.013000000000000001,0.05257911786693247
7,0.001,0.000418
7,0.009000000000000001,0.02788149682483443
7,0.017,0.08470146205995263
7,0.019000000000000003,0.09939227602430896
