n,physical_error_rate,logical_error_rate
3,0.005,0.4437194127243067
3,0.003,0.36780772032046616
3,0.001,0.1843137254901961
3,0.009000000000000001,0.4758293838862559
3,0.007,0.48608534322820035
3,0.011,0.503006012024048
3,0.017,0.5189504373177842
3,0.015,0.5327868852459017
3,0.013000000000000001,0.49901574803149606
3,0.019000000000000003,0.4936247723132969
5,0.001,0.050727955315447305
5,0.003,0.27869757174392934
5,0.005,0.4323181049069374
5,0.009000000000000001,0.4755244755244755
5,0.007,0.49854227405247814
5,0.013000000000000001,0.5106167846309403
5,0.015,0.4820415879017013
5,0.017,0.488394584139265
5,0.011,0.5498392282958199
5,0.019000000000000003,0.5004748338081672
7,0.007,0.4808946877912395
7,0.001,0.024298193537443814
7,0.003,0.2472606002858504
7,0.005,0.429731925264013
7,0.009000000000000001,0.5427974947807933
7,0.011,0.5025075225677031
7,0.015,0.5035246727089627
7,0.013000000000000001,0.5072324011571842
7,0.017,0.4985479186834463
7,0.019000000000000003,0.48927875243664715
