n,physical_error_rate,logical_error_rate
3,0.003,0.38283582089552237
3,0.001,0.2975495915985998
3,0.005,0.45211389128559104
3,0.009000000000000001,0.47363552266419984
3,0.007,0.4781021897810219
3,0.011,0.514344262295082
3,0.017,0.5068493150684932
3,0.013000000000000001,0.5101626016260162
3,0.015,0.5
3,0.019000000000000003,0.4911463187325256
5,0.001,0.21366459627329193
5,0.003,0.3333333333333333
5,0.011,0.5132924335378323
5,0.007,0.4745762711864407
5,0.005,0.40667678300455234
5,0.013000000000000001,0.514344262295082
5,0.009000000000000001,0.5023741690408358
5,0.015,0.49624060150375937
5,0.017,0.5196280991735537
5,0.019000000000000003,0.4890788224121557
7,0.003,0.29272517321016167
7,0.005,0.4275
7,0.001,0.17391304347826086
7,0.009000000000000001,0.4961759082217973
7,0.007,0.4539823008849557
7,0.013000000000000001,0.5144855144855145
7,0.015,0.489815712900097
7,0.017,0.5053449951409135
7,0.011,0.49770431588613406
7,0.019000000000000003,0.5093966369930761
