n,physical_error_rate,logical_error_rate
3,0.003,0.3275968039336202
3,0.001,0.24814997533300445
3,0.007,0.43333333333333335
3,0.005,0.3886847905951506
3,0.009000000000000001,0.45539507221750214
3,0.015,0.48411934552454283
3,0.013000000000000001,0.4611872146118721
3,0.011,0.47584320875113945
3,0.017,0.48334833483348333
3,0.019000000000000003,0.4925373134328358
5,0.003,0.21460446247464504
5,0.001,0.09852507374631268
5,0.007,0.4155844155844156
5,0.009000000000000001,0.4338358458961474
5,0.005,0.3238095238095238
5,0.017,0.5035105315947843
5,0.011,0.4889103182256509
5,0.015,0.48943985307621674
5,0.013000000000000001,0.5029411764705882
5,0.019000000000000003,0.5009784735812133
7,0.011,0.49137931034482757
7,0.003,0.1720524017467249
7,0.013000000000000001,0.5023923444976076
7,0.015,0.4759660697455231
7,0.009000000000000001,0.46345975948196116
7,0.005,0.28882978723404257
7,0.007,0.38028169014084506
7,0.017,0.5055611729019212
7,0.001,0.06181697759134562
7,0.019000000000000003,0.4781783681214421
