n,physical_error_rate,logical_error_rate
3,0.001,0.2197563098346388
3,0.013000000000000001,0.39667458432304037
3,0.003,0.25728643216080405
3,0.009000000000000001,0.36187845303867405
3,0.015,0.4289340101522843
3,0.005,0.3052941176470588
3,0.007,0.36044107512060647
3,0.017,0.41345365053322397
3,0.011,0.4193296960249415
3,0.019000000000000003,0.46354635463546356
5,0.003,0.11303370786516855
5,0.001,0.06786038666147658
5,0.005,0.1790845305713331
5,0.007,0.23287037037037037
5,0.011,0.3489655172413793
5,0.017,0.42018072289156627
5,0.009000000000000001,0.2867403314917127
5,0.013000000000000001,0.37295690936106984
5,0.015,0.42495784148397975
5,0.019000000000000003,0.4579037800687285
7,0.005,0.12871033776867963
7,0.003,0.07365810968494749
7,0.015,0.41075794621026895
7,0.001,0.033885728419490474
7,0.009000000000000001,0.2595
7,0.007,0.1792857142857143
7,0.013000000000000001,0.3822188449848024
7,0.011,0.3320872274143302
7,0.017,0.4830188679245283
7,0.019000000000000003,0.4458041958041958
