n,physical_error_rate,logical_error_rate
3,0.001,0.1400478341748605
3,0.002,0.16876971608832808
3,0.003,0.19556333917104496
3,0.006,0.27245508982035926
3,0.009000000000000001,0.332382762991128
3,0.007,0.30333333333333334
3,0.004,0.2328066914498141
3,0.005,0.2559578368469294
3,0.008,0.3333333333333333
3,0.010000000000000002,0.35446685878962536
3,0.011,0.4009572901325479
3,0.012,0.40047961630695444
3,0.017,0.44768962510897997
3,0.014000000000000002,0.412
3,0.016,0.4447799827437446
3,0.018000000000000002,0.46289592760181
3,0.013000000000000001,0.3993843786071566
3,0.015,0.42760372565622357
3,0.019000000000000003,0.46394984326018807
3,0.021,0.4573875802997859
3,0.02,0.4394657475226196
3,0.023,0.47126436781609193
3,0.022000000000000002,0.4749290444654683
3,0.024,0.48951730862993664
3,0.025,0.4743758212877792
3,0.026000000000000002,0.5128076343545956
3,0.027000000000000003,0.498545101842871
3,0.029,0.4804015296367113
3,0.028,0.4786729857819905
5,0.002,0.12070006035003017
5,0.006,0.2472242783123612
5,0.004,0.1695565188396132
5,0.001,0.09068782114847201
5,0.009000000000000001,0.3234726688102894
5,0.005,0.21607294317217982
5,0.008,0.3317654437127626
5,0.003,0.14870487182928466
5,0.007,0.27445216461785144
5,0.010000000000000002,0.3753271028037383
5,0.011,0.40681998413957177
5,0.013000000000000001,0.4332191780821918
5,0.012,0.42587148257034857
5,0.014000000000000002,0.4404965753424658
5,0.016,0.46877912395153776
5,0.015,0.4661095636025998
5,0.017,0.4662319515603167
5,0.018000000000000002,0.47836424155967666
5,0.021,0.47882300490414625
5,0.019000000000000003,0.4831081081081081
5,0.02,0.48969813128893147
5,0.022000000000000002,0.47491197183098594
5,0.023,0.4978396543446951
5,0.024,0.49016786570743404
5,0.025,0.49145090376160233
5,0.026000000000000002,0.5014218009478673
5,0.027000000000000003,0.507085020242915
5,0.028,0.5040241448692153
5,0.029,0.4962926347009392
7,0.003,0.13179614830341937
7,0.002,0.09799511002444988
7,0.001,0.07980662545569821
7,0.004,0.1727659574468085
7,0.006,0.2574478649453823
7,0.008,0.35646580907244413
7,0.007,0.29985401459854016
7,0.009000000000000001,0.39649122807017545
7,0.005,0.20925428630448253
7,0.010000000000000002,0.40964343598055103
7,0.011,0.442188879082083
7,0.012,0.4684065934065934
7,0.013000000000000001,0.4723926380368098
7,0.014000000000000002,0.469690166142793
7,0.015,0.4795348837209302
7,0.016,0.49311701081612586
7,0.017,0.49073170731707316
7,0.018000000000000002,0.5063291139240507
7,0.019000000000000003,0.4965786901270772
7,0.02,0.48759124087591244
7,0.021,0.5070697220867869
7,0.022000000000000002,0.5055387713997986
7,0.023,0.5018450184501845
7,0.024,0.49850746268656715
7,0.025,0.5007466401194625
7,0.026000000000000002,0.4883941260066319
7,0.027000000000000003,0.5273109243697479
7,0.028,0.5156490507952797
7,0.029,0.49877390877881317
