n,physical_error_rate,logical_error_rate
3,0.004,0.00452
3,0.007,0.01519407944419272
3,0.006,0.01067986454805939
3,0.005,0.00888
3,0.002,0.00082
3,0.001,0.00018
3,0.008,0.019397594847164825
3,0.009000000000000001,0.02597568777991043
3,0.003,0.00264
3,0.010000000000000002,0.031846729683435895
3,0.011,0.03843624406284253
3,0.012,0.044083333333333335
3,0.013000000000000001,0.05468414267296949
3,0.014000000000000002,0.06215870802834902
3,0.016,0.07355021216407355
3,0.015,0.07168305543679636
3,0.017,0.0903109063990788
3,0.018000000000000002,0.09972189114024632
3,0.019000000000000003,0.10882708585247884
3,0.02,0.11418007829491084
3,0.021,0.13444027852169255
3,0.022000000000000002,0.14916666666666667
3,0.023,0.15130830489192265
3,0.024,0.1656260269470917
3,0.025,0.16195524146054183
3,0.026000000000000002,0.17886178861788618
3,0.027000000000000003,0.19607843137254902
3,0.028,0.2069387755102041
3,0.029,0.2202238209432454
5,0.001,2e-05
5,0.003,0.00032
5,0.004,0.001
5,0.006,0.00594
5,0.008,0.017144424633109313
5,0.005,0.00246
5,0.002,8e-05
5,0.009000000000000001,0.026208837015423092
5,0.007,0.00974
5,0.010000000000000002,0.03417533432392273
5,0.011,0.05048524654445643
5,0.012,0.0678391959798995
5,0.013000000000000001,0.08224719101123595
5,0.014000000000000002,0.10397052803929595
5,0.015,0.12888198757763975
5,0.016,0.1487450462351387
5,0.017,0.15407946618137702
5,0.02,0.24842919284678588
5,0.019000000000000003,0.20414428242517269
5,0.018000000000000002,0.1972907259465092
5,0.021,0.27644869750132905
5,0.022000000000000002,0.2845659163987138
5,0.024,0.3125
5,0.023,0.29355354288758656
5,0.025,0.33529028049575993
5,0.027000000000000003,0.3680456490727532
5,0.026000000000000002,0.3433652530779754
5,0.028,0.3929121725731895
5,0.029,0.40403225806451615
7,0.004,0.00034
7,0.003,4e-05
7,0.001,0
7,0.002,0
7,0.006,0.00372
7,0.008,0.016843999131432825
7,0.007,0.00834
7,0.005,0.00138
7,0.009000000000000001,0.02796987859228523
7,0.010000000000000002,0.04573087741584248
7,0.011,0.07143827244329756
7,0.012,0.09190059002324334
7,0.013000000000000001,0.12582136772937455
7,0.014000000000000002,0.1528627015008338
7,0.015,0.19471332836932242
7,0.016,0.21974248927038625
7,0.017,0.2559674961909599
7,0.018000000000000002,0.30587522713506965
7,0.019000000000000003,0.31852315394242803
7,0.022000000000000002,0.3983433734939759
7,0.02,0.36239193083573484
7,0.021,0.3651362984218077
7,0.023,0.40916530278232405
7,0.024,0.4650735294117647
7,0.025,0.4183927091963546
7,0.026000000000000002,0.4680259499536608
7,0.027000000000000003,0.4653284671532847
7,0.029,0.513413506012951
7,0.028,0.4738292011019284
