n,physical_error_rate,logical_error_rate
3,0.002,0.173632324354346
3,0.004,0.22431499170366384
3,0.001,0.13893289653876104
3,0.003,0.1989170816536242
3,0.005,0.24996252061366248
3,0.008,0.3067116150781489
3,0.006,0.276089684141618
3,0.007,0.3037598367822792
3,0.009000000000000001,0.3309016824395373
3,0.011,0.37022787807043506
3,0.013000000000000001,0.39458744847966404
3,0.010000000000000002,0.3535731957305436
3,0.012,0.3734125510582993
3,0.014000000000000002,0.41060742683826545
3,0.015,0.41539482415394824
3,0.016,0.4297982324495581
3,0.018000000000000002,0.44927666457004223
3,0.017,0.4401876465989054
3,0.019000000000000003,0.4577725589377653
3,0.021,0.46513962401898157
3,0.02,0.45189635075764367
3,0.022000000000000002,0.4749113971274016
3,0.023,0.46975522835974864
3,0.024,0.4767058823529412
3,0.025,0.47440758293838864
3,0.026000000000000002,0.4822802850356295
3,0.027000000000000003,0.4859359844810863
3,0.028,0.4869497467861317
3,0.029,0.4815475631514696
5,0.001,0.09232520736577697
5,0.002,0.11737648267488558
5,0.004,0.16982278481012658
5,0.008,0.29956259605154273
5,0.007,0.26992246392418695
5,0.005,0.19954182794849515
5,0.009000000000000001,0.33320309956371685
5,0.003,0.13890977443609023
5,0.006,0.23035555555555556
5,0.010000000000000002,0.3535981903011452
5,0.011,0.3731442499446045
5,0.013000000000000001,0.41741988496302385
5,0.012,0.4040307101727447
5,0.014000000000000002,0.4366233542724378
5,0.015,0.44976162633804084
5,0.016,0.45572157434402333
5,0.017,0.47126650548633064
5,0.018000000000000002,0.4731182795698925
5,0.019000000000000003,0.4916003536693192
5,0.02,0.4740733718835909
5,0.022000000000000002,0.49786005772867525
5,0.021,0.48400873113789505
5,0.023,0.4943464929091606
5,0.024,0.49154541879669683
5,0.025,0.4929632910146639
5,0.026000000000000002,0.4991568296795953
5,0.027000000000000003,0.4966456195737964
5,0.029,0.49211788896504455
5,0.028,0.5006994404476419
7,0.001,0.07854568581725672
7,0.004,0.16069342258991443
7,0.002,0.09909062402006899
7,0.005,0.19894648446446295
7,0.006,0.24239824611571822
7,0.003,0.1262375614057186
7,0.007,0.2837906360921742
7,0.008,0.3240687126037444
7,0.009000000000000001,0.3661642031318601
7,0.010000000000000002,0.39578601080911724
7,0.011,0.4280590897446845
7,0.012,0.45002193944712593
7,0.013000000000000001,0.4644475265834489
7,0.014000000000000002,0.4687240136745819
7,0.015,0.4822065772977143
7,0.016,0.4922210556457001
7,0.017,0.49323131253678637
7,0.018000000000000002,0.4951513952107659
7,0.019000000000000003,0.5051334702258727
7,0.021,0.5056009688162276
7,0.02,0.5026748563503071
7,0.023,0.4938490306072237
7,0.022000000000000002,0.5072948328267477
7,0.024,0.5052856173019106
7,0.025,0.4946952160493827
7,0.026000000000000002,0.5013522989081438
7,0.027000000000000003,0.4930407887106128
7,0.028,0.5012130033964095
7,0.029,0.5060264769808338
