n,boundary_error_rate,logical_error_rate
3,0.001,0.14198926250353208
3,0.003,0.1936885865457294
3,0.007,0.2998805256869773
3,0.009000000000000001,0.33962264150943394
3,0.013000000000000001,0.4051857585139319
3,0.011,0.3789712556732224
3,0.005,0.25012059816690785
3,0.015,0.4364
3,0.017,0.4636363636363636
3,0.019000000000000003,0.4768392370572207
5,0.007,0.27559703541037606
5,0.003,0.11579912864022013
5,0.005,0.1962406015037594
5,0.001,0.05365150544522742
5,0.009000000000000001,0.35250588631012447
5,0.013000000000000001,0.43632478632478633
5,0.015,0.4768181818181818
5,0.017,0.475
5,0.011,0.3910872070687668
5,0.019000000000000003,0.4927466150870406
7,0.001,0.022801851072780818
7,0.003,0.06232876712328767
7,0.005,0.14431654676258993
7,0.015,0.49348140994688555
7,0.007,0.24299909665763325
7,0.009000000000000001,0.35749822316986496
7,0.011,0.40044994375703036
7,0.013000000000000001,0.46097337006427913
7,0.017,0.4787334593572779
7,0.019000000000000003,0.49021526418786693
