n,boundary_error_rate,logical_error_rate
3,0.003,0.2415621986499518
3,0.001,0.08602516150969058
3,0.009000000000000001,0.48972766364070713
3,0.005,0.3699082568807339
3,0.007,0.4383129680725266
3,0.011,0.4978059483178937
3,0.013000000000000001,0.5027777777777778
3,0.017,0.49731838127742567
3,0.015,0.5063172671970051
3,0.019000000000000003,0.48607833883907503
5,0.003,0.15712402987260213
5,0.001,0.02033878321018708
5,0.005,0.331629392971246
5,0.013000000000000001,0.4948148148148148
5,0.009000000000000001,0.48479176415535796
5,0.011,0.48618516723218613
5,0.007,0.4670074349442379
5,0.015,0.5051954477981198
5,0.017,0.4958717824186498
5,0.019000000000000003,0.48830409356725146
7,0.003,0.11726934775261913
7,0.007,0.46633303002729753
7,0.009000000000000001,0.5078481012658228
7,0.011,0.5
7,0.001,0.005654263649619269
7,0.005,0.32470892626131953
7,0.013000000000000001,0.5083884087442806
7,0.017,0.49926289926289924
7,0.015,0.5129740518962076
7,0.019000000000000003,0.5037669512807634
