n,physical_error_rate,logical_error_rate
3,0.004,0.14941158945329958
3,0.001,0.08607997323071775
3,0.002,0.10788682765053373
3,0.008,0.2470559371933268
3,0.009000000000000001,0.23849074513526342
3,0.003,0.13046875
3,0.007,0.2155598538577262
3,0.005,0.1795
3,0.006,0.1987363584147042
3,0.011,0.28751793400286946
3,0.012,0.31788079470198677
3,0.010000000000000002,0.2746652090735174
3,0.014000000000000002,0.34546703296703296
3,0.015,0.35913978494623655
3,0.013000000000000001,0.3301831069108092
3,0.016,0.35931355023239187
3,0.018000000000000002,0.3949019607843137
3,0.017,0.366861741038771
3,0.022000000000000002,0.4264828738512949
3,0.021,0.40890850722311395
3,0.023,0.4229838709677419
3,0.019000000000000003,0.3988583660363896
3,0.02,0.39771383523847065
3,0.025,0.42851239669421487
3,0.024,0.42727272727272725
3,0.026000000000000002,0.46438112199465714
3,0.027000000000000003,0.4641701340730467
3,0.028,0.46184738955823296
3,0.029,0.43755310110450296
5,0.001,0.0627617678314684
5,0.002,0.07856526175339455
5,0.005,0.15675831294083778
5,0.006,0.17658184319119669
5,0.004,0.12333371971716703
5,0.003,0.09700722394220847
5,0.008,0.2334363957597173
5,0.007,0.216057166876839
5,0.009000000000000001,0.27803421124083627
5,0.011,0.341240257539817
5,0.013000000000000001,0.3807142857142857
5,0.010000000000000002,0.30384731899424416
5,0.012,0.36014362657091564
5,0.014000000000000002,0.39503741630563216
5,0.015,0.4014514896867838
5,0.017,0.45603181617322136
5,0.016,0.42783945345858243
5,0.018000000000000002,0.4493138556883577
5,0.019000000000000003,0.46836027713625866
5,0.02,0.4677871148459384
5,0.022000000000000002,0.47244465379180406
5,0.021,0.4690265486725664
5,0.023,0.4829059829059829
5,0.024,0.497283950617284
5,0.026000000000000002,0.5126903553299492
5,0.027000000000000003,0.4970501474926254
5,0.025,0.47698149027052683
5,0.028,0.48695652173913045
5,0.029,0.4798657718120805
7,0.002,0.06251553566989809
7,0.003,0.09011526370939574
7,0.008,0.2641025641025641
7,0.004,0.11505437893531768
7,0.009000000000000001,0.3218390804597701
7,0.006,0.1862603678326722
7,0.001,0.045743329097839895
7,0.007,0.22573561703996486
7,0.005,0.14863870493009565
7,0.010000000000000002,0.36142857142857143
7,0.011,0.3845278725824801
7,0.012,0.42731979291119077
7,0.013000000000000001,0.44684605205116895
7,0.014000000000000002,0.4476149914821124
7,0.015,0.458128078817734
7,0.016,0.47878787878787876
7,0.017,0.48359073359073357
7,0.018000000000000002,0.4957983193277311
7,0.019000000000000003,0.4941286989196806
7,0.02,0.48592233009708735
7,0.021,0.5014940239043825
7,0.022000000000000002,0.5014763779527559
7,0.023,0.48306264501160096
7,0.024,0.4928801102434543
7,0.025,0.5215584415584416
7,0.026000000000000002,0.5265348595213319
7,0.027000000000000003,0.48696911196911197
7,0.028,0.4843238184370613
7,0.029,0.4995029821073559
