n,physical_error_rate,logical_error_rate
3,0.002,0.0022939408321468123
3,0.001,0.00048
3,0.006,0.025879396984924623
3,0.003,0.005575190402707949
3,0.004,0.011662449114314006
3,0.005,0.01765209940017138
3,0.008,0.050049067713444556
3,0.007,0.037460978147762745
3,0.009000000000000001,0.06261740763932373
3,0.010000000000000002,0.07662835249042145
3,0.011,0.10673575129533679
3,0.013000000000000001,0.13685636856368563
3,0.016,0.21621621621621623
3,0.014000000000000002,0.15261627906976744
3,0.015,0.18
3,0.012,0.121
3,0.018000000000000002,0.2125984251968504
3,0.017,0.22033898305084745
3,0.019000000000000003,0.23743500866551126
5,0.001,0
5,0.003,0.00091
5,0.002,0.00019
5,0.005,0.008561236623067776
5,0.004,0.003439087867145867
5,0.007,0.03382716049382716
5,0.008,0.05915813424345848
5,0.006,0.018008283810552854
5,0.009000000000000001,0.07541385652973635
5,0.010000000000000002,0.11723329425556858
5,0.012,0.2222222222222222
5,0.011,0.1497326203208556
5,0.013000000000000001,0.23234624145785876
5,0.014000000000000002,0.2864721485411141
5,0.015,0.33663366336633666
5,0.016,0.3633217993079585
5,0.017,0.3816793893129771
5,0.018000000000000002,0.4146341463414634
5,0.019000000000000003,0.40225563909774437
7,0.003,0.00019
7,0.002,1e-05
7,0.001,0
7,0.004,0.00083
7,0.005,0.004047619047619047
7,0.006,0.01325516186591894
7,0.007,0.037504381352961795
7,0.008,0.06351883080382237
7,0.009000000000000001,0.11509229098805646
7,0.010000000000000002,0.1432258064516129
7,0.011,0.20961538461538462
7,0.012,0.2860576923076923
7,0.013000000000000001,0.3373493975903614
7,0.014000000000000002,0.4234875444839858
7,0.015,0.4269230769230769
7,0.016,0.4778761061946903
7,0.017,0.423728813559322
7,0.019000000000000003,0.502262443438914
7,0.018000000000000002,0.49056603773584906
9,0.001,0
9,0.003,4e-05
9,0.002,0
9,0.004,0.00028
9,0.005,0.0016485760971055089
9,0.007,0.02542799597180262
9,0.008,0.05706806282722513
9,0.006,0.008089305937550558
9,0.009000000000000001,0.1271604938271605
9,0.010000000000000002,0.20257826887661143
9,0.011,0.28895184135977336
9,0.012,0.38345864661654133
9,0.013000000000000001,0.4189723320158103
9,0.014000000000000002,0.4092664092664093
9,0.015,0.5074626865671642
9,0.016,0.47345132743362833
9,0.017,0.5126903553299492
9,0.018000000000000002,0.49056603773584906
9,0.019000000000000003,0.5336538461538461
