n,physical_error_rate,logical_error_rate
3,0.001,0.0021213483146067416
3,0.009000000000000001,0.12603305785123967
3,0.004,0.027604054345481993
3,0.008,0.0984643179765131
3,0.006,0.05628517823639775
3,0.002,0.009008407847324169
3,0.007,0.08043310131477185
3,0.005,0.046638655462184875
3,0.003,0.01694420099328075
3,0.010000000000000002,0.1664
3,0.011,0.18717504332755633
3,0.013000000000000001,0.2286902286902287
3,0.015,0.26119402985074625
3,0.014000000000000002,0.2594458438287154
3,0.012,0.14721485411140584
3,0.016,0.23937360178970918
3,0.018000000000000002,0.3153409090909091
3,0.017,0.2916666666666667
3,0.019000000000000003,0.29329608938547486
5,0.001,0.00046
5,0.005,0.03888888888888889
5,0.004,0.02156276686592656
5,0.003,0.010231660231660231
5,0.007,0.09297374024130589
5,0.002,0.0033419745760064966
5,0.008,0.15625
5,0.009000000000000001,0.1975736568457539
5,0.006,0.07055555555555555
5,0.011,0.2675
5,0.010000000000000002,0.2375296912114014
5,0.012,0.2703639514731369
5,0.015,0.38783269961977185
5,0.014000000000000002,0.38047138047138046
5,0.013000000000000001,0.3591549295774648
5,0.017,0.4150197628458498
5,0.018000000000000002,0.4308300395256917
5,0.016,0.3923076923076923
5,0.019000000000000003,0.5282051282051282
7,0.001,4e-05
7,0.005,0.028797696184305256
7,0.006,0.06257668711656442
7,0.004,0.013529489031919086
7,0.009000000000000001,0.18647166361974407
7,0.002,0.00077
7,0.003,0.005315110098709187
7,0.007,0.09915809167446211
7,0.008,0.12994350282485875
7,0.010000000000000002,0.3353846153846154
7,0.011,0.3179347826086957
7,0.013000000000000001,0.3838383838383838
7,0.012,0.3594306049822064
7,0.014000000000000002,0.3888888888888889
7,0.015,0.4975369458128079
7,0.016,0.4751131221719457
7,0.017,0.43956043956043955
7,0.018000000000000002,0.5024630541871922
7,0.019000000000000003,0.4697674418604651
9,0.001,2e-05
9,0.003,0.0017319394601341862
9,0.002,0.00025
9,0.004,0.007475685876034257
9,0.007,0.108
9,0.005,0.027649769585253458
9,0.008,0.1565217391304348
9,0.009000000000000001,0.24390243902439024
9,0.006,0.06307409675443969
9,0.010000000000000002,0.28888888888888886
9,0.011,0.36823104693140796
9,0.012,0.461864406779661
9,0.013000000000000001,0.44129554655870445
9,0.014000000000000002,0.47058823529411764
9,0.015,0.423728813559322
9,0.016,0.4660633484162896
9,0.017,0.4805194805194805
9,0.018000000000000002,0.6
9,0.019000000000000003,0.4790697674418605
